superset,tokens
92,"[29896, 372, 501, 1285, 9736, 679, 661, 29894, 913, 1763, 6942, 445, 1085, 4309, 11836, 4427, 3663, 3954, 18643, 3013]"
93,"[29897, 373, 29945, 1608, 9687, 1284, 719, 647, 678, 8709, 19335, 29895, 14919, 17346, 5264, 18642, 1762, 1358, 2738, 16858, 9890]"
94,"[297, 768, 19413, 19782, 1023, 4396, 15202, 3059, 25562, 1129, 9642, 18099, 2846, 789, 24552, 1804, 15797, 2267, 4824, 4845, 4599, 8552, 682, 2256, 5120, 25348, 4644, 5665]"
95,"[920, 3058, 296, 1128, 1022, 19783, 2266, 12562, 20130, 29995, 1588, 15595, 5883, 14188, 4428, 14586, 18015, 16899, 769, 2257, 7443, 17923, 683, 5664, 8906, 25664, 9770, 4776, 1372, 1222]"
96,"[3573, 385, 269, 403, 940, 281, 8429, 5560, 16500, 3483, 10523, 4790, 4549, 3349, 1799, 6509, 8766, 16679]"
97,"[402, 280, 5046, 3038, 2002, 18020, 4439, 376, 384, 3395, 7389, 7308, 4331, 623, 21595, 7291]"
98,"[515, 493, 805, 16083, 406, 9315, 11266, 7282, 1090, 5868, 2590, 9443, 23818, 2362, 3878, 2719, 1603, 22827, 6119, 6204, 1985, 1206, 19702, 20471, 19328, 15326]"
99,"[491, 352, 537, 1199, 514, 1099, 492, 2363, 4225, 18406, 1207, 3189, 7573, 6225, 1602, 16454, 2178, 12121, 7283, 407, 3086, 4866, 9068]"
100,"[3704, 6028, 478, 12130, 13394, 793, 2411, 3961, 10459, 4590, 25548, 5439, 1253, 28533, 2882, 8226, 16720, 2478, 16958, 673, 12504, 7363, 17546, 15668, 11706]"
101,"[672, 2410, 335, 26438, 479, 13015, 4565, 16661, 1349, 10936, 2814, 602, 8227, 4201, 6530, 6425, 8025, 17973, 14591, 1692, 7846, 23388, 13374, 1342, 7618, 7362]"
102,"[3129, 14165, 1071, 20410, 2796, 5367, 8980, 15680, 2147, 993, 4881, 5208, 543, 2224, 7698, 2544, 5332, 23915, 3530, 3052]"
103,"[895, 2, 542, 1070, 14040, 3987, 6727, 6419, 2109, 15284, 5333, 1376, 2146, 2225, 12439, 19754, 8634, 18367, 23746, 23035, 5890, 2797, 9295, 14985, 8194]"
104,"[2305, 306, 23878, 16157, 273, 1883, 3624, 3398, 967, 25702, 2520, 22514, 7190, 11223, 13977, 28696, 23958, 2125, 6051, 24899, 27803, 10712, 3031, 1160, 5222, 2821, 3353, 4495, 25078, 3250, 6057, 12812, 15633]"
105,"[272, 633, 307, 2820, 2775, 2304, 3625, 1161, 25079, 966, 3074, 1314, 24395, 5040, 4869, 1248, 21567]"
